Ref;Arena Link;Category;Characteristics;Commodity Class;Created Date;Description;DXDB_LIBNAME;Effective Date;Footprint;Halogen Free;Manufacturer 1;Manufacturer 1 PN;Manufacturer 2;Manufacturer 2 PN;Manufacturer 3;Manufacturer 3 PN;Manufacturer 4;Manufacturer 4 PN;Manufacturer 5;Manufacturer 5 PN;Owner;Part Height;Part Status;Rating;Requestor;Revision;RoHS Compliant;Temperature Range;Tolerance;Value;Variant Variable Text;Voltage;Price
C804;https://app.bom.com/a/6O7P8SBSBUDMZMOD?v=files.associations;Capacitor;X5R;PAS - Passives;2009-03-11T13:25:27-08:00;CAP, 1uF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2014-03-12T04:39:29-08:00;0402C;N/A;MURATA GRM155R61A105KE15D;GRM155R61A105KE15D;TAIYO YUDEN LMK105BJ105KV-F;LMK105BJ105KV-F;;;;;;;Morris Chau;0.55mm;Production;;Kristi Eng;2;N/A;-55 +85C;10%;1uF;;10V;0.0
C805;https://app.bom.com/a/L3M4N7Q7Q9SBB34T?v=files.associations;Capacitor;X5R;PAS - Passives;2003-10-24T15:32:31-08:00;CAP, 10uF, 10V, 20%, X5R, CERAMIC, 0805;Capacitor;2012-01-13T16:18:46-08:00;0805C;N/A;TAIYO YUDEN LMK212C106MG;LMK212C106MG;MURATA GRM21BR61A106KE19L;GRM21BR61A106KE19L;TAIYO YUDEN LMK212BJ106KG-T;LMK212BJ106KG-T;TAIYO YUDEN LMK212BJ106KD-T;LMK212BJ106KD-T;;;Morris Chau;1.35mm;Production;;Michael Sorensen;4;N/A;-55 +85C;20%;10uF;;10V;0.0
C806;https://app.bom.com/a/P7Q8RBUBUDWENJB3?v=files.associations;Capacitor;X7R;PAS - Passives;2004-12-21T10:57:06-08:00;CAP, 47nF, 10V, 10%, X7R, CERAMIC, 0402;Capacitor;2011-12-02T13:52:33-08:00;0402C;N/A;MURATA GRM155R71A473KA01D;GRM155R71A473KA01D;TAIYO YUDEN LMK105BJ473KV-F;LMK105BJ473KV-F;;;;;;;Morris Chau;0.55mm;Production;;Kevin Dotzler;2;N/A;-55 +125C;10%;47nF;;10V;0.0
C807;https://app.bom.com/a/EWFXG0J0J22ZOY4W?v=files.associations;Capacitor;X7R;PAS - Passives;2012-03-06T15:42:48-08:00;CAP, 220nF, 50V, 20%, X7R, CERAMIC, 0603;Capacitor;2012-03-06T15:47:11-08:00;0603C;N/A;MURATA GCM188R71H224MA64D;GCM188R71H224MA64D;TAIYO YUDEN UMK107B7224MA-TR;UMK107B7224MA-TR;;;;;;;Michael Sorensen;0.8mm;Design;;Robert Hardesty;A;N/A;-55 +125C;20%;220nF;;50V;0.0
C808;https://app.bom.com/a/6O7P8SBSBUUI7096?v=files.associations;Capacitor;X5R;PAS - Passives;2014-03-26T03:32:53-08:00;CAP, 10uF, 10V, 20%, X5R, CERAMIC, 0603;Capacitor;2014-03-26T03:37:12-08:00;0603C;N/A;MURATA GRM188R61A106ME69D;GRM188R61A106ME69D;;;;;;;;;Morris Chau;0.95mm;Design;;Mohamed Ammari;A;N/A;-55 +85C;20%;10uF;;6.3V;0.0
C809;https://app.bom.com/a/EWFXG0J0J22ZOY4W?v=files.associations;Capacitor;X7R;PAS - Passives;2012-03-06T15:42:48-08:00;CAP, 220nF, 50V, 20%, X7R, CERAMIC, 0603;Capacitor;2012-03-06T15:47:11-08:00;0603C;N/A;MURATA GCM188R71H224MA64D;GCM188R71H224MA64D;TAIYO YUDEN UMK107B7224MA-TR;UMK107B7224MA-TR;;;;;;;Michael Sorensen;0.8mm;Design;;Robert Hardesty;A;N/A;-55 +125C;20%;220nF;;50V;0.0
C810;https://app.bom.com/a/2K3L4O7O7Q9QNTDO?v=files.associations;Capacitor;X5R;PAS - Passives;2006-06-23T05:25:15-08:00;CAP, 4.7uF, 10V, 10%, X5R, CERAMIC, 0603;Capacitor;2014-04-29T00:34:09-08:00;0603C;N/A;MURATA GRM188R61A475KE15D;GRM188R61A475KE15D;NIC COMPONENTS NMC0603X5R475K10TRPF;NMC0603X5R475K10TRPF;SEMCO (Samsung Electro-Mechanics Co. Ltd) CL10A475KP8NNNC;CL10A475KP8NNNC;TAIYO YUDEN LMK107BJ475KA-T;LMK107BJ475KA-T;;;Morris Chau;0.9mm;Production;;Ryan Fallini;3;N/A;-55 +85C;10%;4.7uF;;10V;0.0
C811;https://app.bom.com/a/N5O6P9S9SBU5DYQF?v=files.associations;Capacitor;X7R;PAS - Passives;2008-08-21T16:59:08-08:00;CAP, 100nF, 16V, 10%, X7R, CERAMIC, 0402;Capacitor;2012-02-01T15:49:25-08:00;0402C;N/A;NIC COMPONENTS NMC0402X7R104K16TRPF;NMC0402X7R104K16TRPF;MURATA GRM155R71C104KA88D;GRM155R71C104KA88D;VISHAY VJ0402V104ZXJCW1BC;VJ0402V104ZXJCW1BC;;;;;Morris Chau;0.55mm;Production;;Airlink;2;N/A;-55 +125C;10%;100nF;;16V;0.0
C812;https://app.bom.com/a/4M5N6Q9Q9SSKOOFO?v=files.associations;Capacitor;X5R;PAS - Passives;2013-02-27T02:12:35-08:00;CAP, 47uF, 10V, 20%, X5R, CERAMIC, 1206;Capacitor;2013-03-04T23:56:40-08:00;1206C;N/A;MURATA GRM31CR61A476ME15L;GRM31CR61A476ME15L;TAIYO YUDEN LMK316BJ476ML-T;LMK316BJ476ML-T;;;;;;;Morris Chau;1.8mm;Production;;Derek Liu;1;N/A;-55 +85C;20%;47uF;;10V;0.0
C818;https://app.bom.com/a/6O7P8SBSBUUI7096?v=files.associations;Capacitor;X5R;PAS - Passives;2014-03-26T03:32:53-08:00;CAP, 10uF, 10V, 20%, X5R, CERAMIC, 0603;Capacitor;2014-03-26T03:37:12-08:00;0603C;N/A;MURATA GRM188R61A106ME69D;GRM188R61A106ME69D;;;;;;;;;Morris Chau;0.95mm;Design;;Mohamed Ammari;A;N/A;-55 +85C;20%;10uF;DNI;6.3V;0.0
C900;https://app.bom.com/a/N5O6P9S9SBU5DYQF?v=files.associations;Capacitor;X7R;PAS - Passives;2008-08-21T16:59:08-08:00;CAP, 100nF, 16V, 10%, X7R, CERAMIC, 0402;Capacitor;2012-02-01T15:49:25-08:00;0402C;N/A;NIC COMPONENTS NMC0402X7R104K16TRPF;NMC0402X7R104K16TRPF;MURATA GRM155R71C104KA88D;GRM155R71C104KA88D;VISHAY VJ0402V104ZXJCW1BC;VJ0402V104ZXJCW1BC;;;;;Morris Chau;0.55mm;Production;;Airlink;2;N/A;-55 +125C;10%;100nF;;16V;0.0
C901;https://app.bom.com/a/N5O6P9S9SBU5DYQF?v=files.associations;Capacitor;X7R;PAS - Passives;2008-08-21T16:59:08-08:00;CAP, 100nF, 16V, 10%, X7R, CERAMIC, 0402;Capacitor;2012-02-01T15:49:25-08:00;0402C;N/A;NIC COMPONENTS NMC0402X7R104K16TRPF;NMC0402X7R104K16TRPF;MURATA GRM155R71C104KA88D;GRM155R71C104KA88D;VISHAY VJ0402V104ZXJCW1BC;VJ0402V104ZXJCW1BC;;;;;Morris Chau;0.55mm;Production;;Airlink;2;N/A;-55 +125C;10%;100nF;;16V;0.0
C902;https://app.bom.com/a/N5O6P9S9SBU5DYQF?v=files.associations;Capacitor;X7R;PAS - Passives;2008-08-21T16:59:08-08:00;CAP, 100nF, 16V, 10%, X7R, CERAMIC, 0402;Capacitor;2012-02-01T15:49:25-08:00;0402C;N/A;NIC COMPONENTS NMC0402X7R104K16TRPF;NMC0402X7R104K16TRPF;MURATA GRM155R71C104KA88D;GRM155R71C104KA88D;VISHAY VJ0402V104ZXJCW1BC;VJ0402V104ZXJCW1BC;;;;;Morris Chau;0.55mm;Production;;Airlink;2;N/A;-55 +125C;10%;100nF;;16V;0.0
C903;https://app.bom.com/a/6O7P8SBSBUUI7096?v=files.associations;Capacitor;X5R;PAS - Passives;2014-03-26T03:32:53-08:00;CAP, 10uF, 10V, 20%, X5R, CERAMIC, 0603;Capacitor;2014-03-26T03:37:12-08:00;0603C;N/A;MURATA GRM188R61A106ME69D;GRM188R61A106ME69D;;;;;;;;;Morris Chau;0.95mm;Design;;Mohamed Ammari;A;N/A;-55 +85C;20%;10uF;;6.3V;0.0
C904;https://app.bom.com/a/N5O6P9S9SBU5DYQF?v=files.associations;Capacitor;X7R;PAS - Passives;2008-08-21T16:59:08-08:00;CAP, 100nF, 16V, 10%, X7R, CERAMIC, 0402;Capacitor;2012-02-01T15:49:25-08:00;0402C;N/A;NIC COMPONENTS NMC0402X7R104K16TRPF;NMC0402X7R104K16TRPF;MURATA GRM155R71C104KA88D;GRM155R71C104KA88D;VISHAY VJ0402V104ZXJCW1BC;VJ0402V104ZXJCW1BC;;;;;Morris Chau;0.55mm;Production;;Airlink;2;N/A;-55 +125C;10%;100nF;;16V;0.0
C905;https://app.bom.com/a/2K3L4O7O7Q7V9AYD?v=files.associations;Capacitor;X5R;PAS - Passives;2011-05-10T11:01:11-08:00;CAP, 100nF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2013-11-26T22:59:31-08:00;0402C;;MURATA GRM155R61A104KA01D;GRM155R61A104KA01D;TAIYO YUDEN LMK105BJ104KV-F;LMK105BJ104KV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +85C;10%;100nF;DNI;10V;0.0
C906;https://app.bom.com/a/M4N5O8R8RARFTUIV?v=files.associations;Capacitor;X5R;PAS - Passives;2011-05-10T11:00:44-08:00;CAP, 10uF, 10V, 10%, X5R, CERAMIC, 0805;Capacitor;2013-02-20T15:53:29-08:00;0805C;;MURATA GRM21BR61A106KE19L;GRM21BR61A106KE19L;TAIYO YUDEN LMK212BJ106KG-T;LMK212BJ106KG-T;;;;;;;Michael Sorensen;1.35mm;Production;;Michael Sorensen;1;;-55 +85C;10%;10uF;;10V;0.0
C907;https://app.bom.com/a/2K3L4O7O7Q7V9AYD?v=files.associations;Capacitor;X5R;PAS - Passives;2011-05-10T11:01:11-08:00;CAP, 100nF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2013-11-26T22:59:31-08:00;0402C;;MURATA GRM155R61A104KA01D;GRM155R61A104KA01D;TAIYO YUDEN LMK105BJ104KV-F;LMK105BJ104KV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +85C;10%;100nF;DNI;10V;0.0
C908;https://app.bom.com/a/4M5N6Q9Q9SSKOOFO?v=files.associations;Capacitor;X5R;PAS - Passives;2013-02-27T02:12:35-08:00;CAP, 47uF, 10V, 20%, X5R, CERAMIC, 1206;Capacitor;2013-03-04T23:56:40-08:00;1206C;N/A;MURATA GRM31CR61A476ME15L;GRM31CR61A476ME15L;TAIYO YUDEN LMK316BJ476ML-T;LMK316BJ476ML-T;;;;;;;Morris Chau;1.8mm;Production;;Derek Liu;1;N/A;-55 +85C;20%;47uF;;10V;0.0
C909;https://app.bom.com/a/P7Q8RBUBUDWENJB3?v=files.associations;Capacitor;X7R;PAS - Passives;2004-12-21T10:57:06-08:00;CAP, 47nF, 10V, 10%, X7R, CERAMIC, 0402;Capacitor;2011-12-02T13:52:33-08:00;0402C;N/A;MURATA GRM155R71A473KA01D;GRM155R71A473KA01D;TAIYO YUDEN LMK105BJ473KV-F;LMK105BJ473KV-F;;;;;;;Morris Chau;0.55mm;Production;;Kevin Dotzler;2;N/A;-55 +125C;10%;47nF;DNI;10V;0.0
C910;https://app.bom.com/a/2K3L4O7O7Q7V9AYD?v=files.associations;Capacitor;X5R;PAS - Passives;2011-05-10T11:01:11-08:00;CAP, 100nF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2013-11-26T22:59:31-08:00;0402C;;MURATA GRM155R61A104KA01D;GRM155R61A104KA01D;TAIYO YUDEN LMK105BJ104KV-F;LMK105BJ104KV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +85C;10%;100nF;;10V;0.0
C911;https://app.bom.com/a/FXGYH1K1K3K8MNBT?v=files.associations;Capacitor;X7R;PAS - Passives;2011-05-10T11:01:33-08:00;CAP, 10nF, 25V, 10%, X7R, CERAMIC, 0402;Capacitor;2013-12-09T20:53:11-08:00;0402C;;MURATA GRM155R71E103KA01D;GRM155R71E103KA01D;TAIYO YUDEN TMK105BJ103KV-F;TMK105BJ103KV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +125C;10%;10nF;DNI;25V;0.0
C912;https://app.bom.com/a/4M5N6Q9Q9SSKOOFO?v=files.associations;Capacitor;X5R;PAS - Passives;2013-02-27T02:12:35-08:00;CAP, 47uF, 10V, 20%, X5R, CERAMIC, 1206;Capacitor;2013-03-04T23:56:40-08:00;1206C;N/A;MURATA GRM31CR61A476ME15L;GRM31CR61A476ME15L;TAIYO YUDEN LMK316BJ476ML-T;LMK316BJ476ML-T;;;;;;;Morris Chau;1.8mm;Production;;Derek Liu;1;N/A;-55 +85C;20%;47uF;;10V;0.0
C913;https://app.bom.com/a/2K3L4O7O7Q7V9AYD?v=files.associations;Capacitor;X5R;PAS - Passives;2011-05-10T11:01:11-08:00;CAP, 100nF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2013-11-26T22:59:31-08:00;0402C;;MURATA GRM155R61A104KA01D;GRM155R61A104KA01D;TAIYO YUDEN LMK105BJ104KV-F;LMK105BJ104KV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +85C;10%;100nF;;10V;0.0
C914;https://app.bom.com/a/2K3L4O7O7Q7V9AYD?v=files.associations;Capacitor;X5R;PAS - Passives;2011-05-10T11:01:11-08:00;CAP, 100nF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2013-11-26T22:59:31-08:00;0402C;;MURATA GRM155R61A104KA01D;GRM155R61A104KA01D;TAIYO YUDEN LMK105BJ104KV-F;LMK105BJ104KV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +85C;10%;100nF;;10V;0.0
C915;https://app.bom.com/a/2K3L4O7O7Q7V9AYD?v=files.associations;Capacitor;X5R;PAS - Passives;2011-05-10T11:01:11-08:00;CAP, 100nF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2013-11-26T22:59:31-08:00;0402C;;MURATA GRM155R61A104KA01D;GRM155R61A104KA01D;TAIYO YUDEN LMK105BJ104KV-F;LMK105BJ104KV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +85C;10%;100nF;DNI;10V;0.0
C916;https://app.bom.com/a/2K3L4O7O7Q7V9AYD?v=files.associations;Capacitor;X5R;PAS - Passives;2011-05-10T11:01:11-08:00;CAP, 100nF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2013-11-26T22:59:31-08:00;0402C;;MURATA GRM155R61A104KA01D;GRM155R61A104KA01D;TAIYO YUDEN LMK105BJ104KV-F;LMK105BJ104KV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +85C;10%;100nF;DNI;10V;0.0
C917;https://app.bom.com/a/2K3L4O7O7Q7V9AYD?v=files.associations;Capacitor;X5R;PAS - Passives;2011-05-10T11:01:11-08:00;CAP, 100nF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2013-11-26T22:59:31-08:00;0402C;;MURATA GRM155R61A104KA01D;GRM155R61A104KA01D;TAIYO YUDEN LMK105BJ104KV-F;LMK105BJ104KV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +85C;10%;100nF;DNI;10V;0.0
C918;https://app.bom.com/a/2K3L4O7O7Q7V9AYD?v=files.associations;Capacitor;X5R;PAS - Passives;2011-05-10T11:01:11-08:00;CAP, 100nF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2013-11-26T22:59:31-08:00;0402C;;MURATA GRM155R61A104KA01D;GRM155R61A104KA01D;TAIYO YUDEN LMK105BJ104KV-F;LMK105BJ104KV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +85C;10%;100nF;DNI;10V;0.0
C919;https://app.bom.com/a/2K3L4O7O7Q7V9AYD?v=files.associations;Capacitor;X5R;PAS - Passives;2011-05-10T11:01:11-08:00;CAP, 100nF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2013-11-26T22:59:31-08:00;0402C;;MURATA GRM155R61A104KA01D;GRM155R61A104KA01D;TAIYO YUDEN LMK105BJ104KV-F;LMK105BJ104KV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +85C;10%;100nF;DNI;10V;0.0
C920;https://app.bom.com/a/4M5N6Q9Q9SSKOOFO?v=files.associations;Capacitor;X5R;PAS - Passives;2013-02-27T02:12:35-08:00;CAP, 47uF, 10V, 20%, X5R, CERAMIC, 1206;Capacitor;2013-03-04T23:56:40-08:00;1206C;N/A;MURATA GRM31CR61A476ME15L;GRM31CR61A476ME15L;TAIYO YUDEN LMK316BJ476ML-T;LMK316BJ476ML-T;;;;;;;Morris Chau;1.8mm;Production;;Derek Liu;1;N/A;-55 +85C;20%;47uF;;10V;0.0
C921;https://app.bom.com/a/2K3L4O7O7Q7V9AYD?v=files.associations;Capacitor;X5R;PAS - Passives;2011-05-10T11:01:11-08:00;CAP, 100nF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2013-11-26T22:59:31-08:00;0402C;;MURATA GRM155R61A104KA01D;GRM155R61A104KA01D;TAIYO YUDEN LMK105BJ104KV-F;LMK105BJ104KV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +85C;10%;100nF;;10V;0.0
C922;https://app.bom.com/a/CUDVEYHYH00WWKIT?v=files.associations;Capacitor;TANTALUM;PAS - Passives;2012-03-22T12:32:16-08:00;CAP, 1.5mF, 6.3V, 20%, TANTALUM, 7.2x6.3x2mm;Capacitor;2013-04-17T08:27:49-08:00;CAP_2P_0720x0630_POL_NIB;N/A;VISHAY 592D158X06R3R2T20H;592D158X06R3R2T20H;AVX (KYOCERA) F720J158MMC;F720J158MMC;;;;;;;Morris Chau;2mm;Production;;Edison Li;2;N/A;-55 +85C;20%;1.5mF;;6.3V;0.0
C924;https://app.bom.com/a/R9SATDWDWFPQ5RBU?v=files.associations;Capacitor;X5R;PAS - Passives;2011-10-31T17:27:40-08:00;CAP, 22uF, 6.3V, 20%, X5R, CERAMIC, 0603;Capacitor;2012-11-19T09:07:33-08:00;0603C_WIDE_BODY;N/A;MURATA GRM188R60J226MEA0D;GRM188R60J226MEA0D;TDK C1608X5R0J226MT;C1608X5R0J226MT;;;;;;;Chris Ivanciuc;1mm;Production;;Markus Myers;2;N/A;-55 +85C;20%;22uF;;6.3V;0.0
C925;https://app.bom.com/a/FXGYH1K1K3M4D93C?v=files.associations;Capacitor;C0G;PAS - Passives;2004-12-21T10:56:56-08:00;CAP, 56pF, 50V, 5%, C0G, CERAMIC, 0402;Capacitor;2014-07-03T08:45:38-08:00;0402C;N/A;MURATA GRM1555C1H560JA01D;GRM1555C1H560JA01D;TAIYO YUDEN UMK105CG560JV-F;UMK105CG560JV-F;;;;;;;Morris Chau;0.55mm;Production;;Kevin Dotzler;1.1;N/A;-55 +125C;5%;56pF;;50V;0.0
C926;https://app.bom.com/a/R9SATDWDWFPQ5RBU?v=files.associations;Capacitor;X5R;PAS - Passives;2011-10-31T17:27:40-08:00;CAP, 22uF, 6.3V, 20%, X5R, CERAMIC, 0603;Capacitor;2012-11-19T09:07:33-08:00;0603C_WIDE_BODY;N/A;MURATA GRM188R60J226MEA0D;GRM188R60J226MEA0D;TDK C1608X5R0J226MT;C1608X5R0J226MT;;;;;;;Chris Ivanciuc;1mm;Production;;Markus Myers;2;N/A;-55 +85C;20%;22uF;;6.3V;0.0
C927;https://app.bom.com/a/R9SATDWDWFPQ5RBU?v=files.associations;Capacitor;X5R;PAS - Passives;2011-10-31T17:27:40-08:00;CAP, 22uF, 6.3V, 20%, X5R, CERAMIC, 0603;Capacitor;2012-11-19T09:07:33-08:00;0603C_WIDE_BODY;N/A;MURATA GRM188R60J226MEA0D;GRM188R60J226MEA0D;TDK C1608X5R0J226MT;C1608X5R0J226MT;;;;;;;Chris Ivanciuc;1mm;Production;;Markus Myers;2;N/A;-55 +85C;20%;22uF;;6.3V;0.0
C928;https://app.bom.com/a/R9SATDWDWFPQ5RBU?v=files.associations;Capacitor;X5R;PAS - Passives;2011-10-31T17:27:40-08:00;CAP, 22uF, 6.3V, 20%, X5R, CERAMIC, 0603;Capacitor;2012-11-19T09:07:33-08:00;0603C_WIDE_BODY;N/A;MURATA GRM188R60J226MEA0D;GRM188R60J226MEA0D;TDK C1608X5R0J226MT;C1608X5R0J226MT;;;;;;;Chris Ivanciuc;1mm;Production;;Markus Myers;2;N/A;-55 +85C;20%;22uF;;6.3V;0.0
C929;https://app.bom.com/a/2K3L4O7O7Q7V9AYD?v=files.associations;Capacitor;X5R;PAS - Passives;2011-05-10T11:01:11-08:00;CAP, 100nF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2013-11-26T22:59:31-08:00;0402C;;MURATA GRM155R61A104KA01D;GRM155R61A104KA01D;TAIYO YUDEN LMK105BJ104KV-F;LMK105BJ104KV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +85C;10%;100nF;;10V;0.0
C930;https://app.bom.com/a/2K3L4O7O7Q7V9AYD?v=files.associations;Capacitor;X5R;PAS - Passives;2011-05-10T11:01:11-08:00;CAP, 100nF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2013-11-26T22:59:31-08:00;0402C;;MURATA GRM155R61A104KA01D;GRM155R61A104KA01D;TAIYO YUDEN LMK105BJ104KV-F;LMK105BJ104KV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +85C;10%;100nF;;10V;0.0
C931;https://app.bom.com/a/2K3L4O7O7Q7V9AYD?v=files.associations;Capacitor;X5R;PAS - Passives;2011-05-10T11:01:11-08:00;CAP, 100nF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2013-11-26T22:59:31-08:00;0402C;;MURATA GRM155R61A104KA01D;GRM155R61A104KA01D;TAIYO YUDEN LMK105BJ104KV-F;LMK105BJ104KV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +85C;10%;100nF;;10V;0.0
C932;https://app.bom.com/a/2K3L4O7O7Q7V9AYD?v=files.associations;Capacitor;X5R;PAS - Passives;2011-05-10T11:01:11-08:00;CAP, 100nF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2013-11-26T22:59:31-08:00;0402C;;MURATA GRM155R61A104KA01D;GRM155R61A104KA01D;TAIYO YUDEN LMK105BJ104KV-F;LMK105BJ104KV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +85C;10%;100nF;;10V;0.0
C933;https://app.bom.com/a/2K3L4O7O7Q7V9AYD?v=files.associations;Capacitor;X5R;PAS - Passives;2011-05-10T11:01:11-08:00;CAP, 100nF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2013-11-26T22:59:31-08:00;0402C;;MURATA GRM155R61A104KA01D;GRM155R61A104KA01D;TAIYO YUDEN LMK105BJ104KV-F;LMK105BJ104KV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +85C;10%;100nF;;10V;0.0
C940;https://app.bom.com/a/N5O6P9S9SBU5DYQF?v=files.associations;Capacitor;X7R;PAS - Passives;2008-08-21T16:59:08-08:00;CAP, 100nF, 16V, 10%, X7R, CERAMIC, 0402;Capacitor;2012-02-01T15:49:25-08:00;0402C;N/A;NIC COMPONENTS NMC0402X7R104K16TRPF;NMC0402X7R104K16TRPF;MURATA GRM155R71C104KA88D;GRM155R71C104KA88D;VISHAY VJ0402V104ZXJCW1BC;VJ0402V104ZXJCW1BC;;;;;Morris Chau;0.55mm;Production;;Airlink;2;N/A;-55 +125C;10%;100nF;;16V;0.0
C941;https://app.bom.com/a/N5O6P9S9SBU5DYQF?v=files.associations;Capacitor;X7R;PAS - Passives;2008-08-21T16:59:08-08:00;CAP, 100nF, 16V, 10%, X7R, CERAMIC, 0402;Capacitor;2012-02-01T15:49:25-08:00;0402C;N/A;NIC COMPONENTS NMC0402X7R104K16TRPF;NMC0402X7R104K16TRPF;MURATA GRM155R71C104KA88D;GRM155R71C104KA88D;VISHAY VJ0402V104ZXJCW1BC;VJ0402V104ZXJCW1BC;;;;;Morris Chau;0.55mm;Production;;Airlink;2;N/A;-55 +125C;10%;100nF;;16V;0.0
C943;https://app.bom.com/a/6O7P8SBSBUDMZMOD?v=files.associations;Capacitor;X5R;PAS - Passives;2009-03-11T13:25:27-08:00;CAP, 1uF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2014-03-12T04:39:29-08:00;0402C;N/A;MURATA GRM155R61A105KE15D;GRM155R61A105KE15D;TAIYO YUDEN LMK105BJ105KV-F;LMK105BJ105KV-F;;;;;;;Morris Chau;0.55mm;Production;;Kristi Eng;2;N/A;-55 +85C;10%;1uF;;10V;0.0
C945;https://app.bom.com/a/6O7P8SBSBUDMZMOD?v=files.associations;Capacitor;X5R;PAS - Passives;2009-03-11T13:25:27-08:00;CAP, 1uF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2014-03-12T04:39:29-08:00;0402C;N/A;MURATA GRM155R61A105KE15D;GRM155R61A105KE15D;TAIYO YUDEN LMK105BJ105KV-F;LMK105BJ105KV-F;;;;;;;Morris Chau;0.55mm;Production;;Kristi Eng;2;N/A;-55 +85C;10%;1uF;;10V;0.0
C950;https://app.bom.com/a/N5O6P9S9SBU5DYQF?v=files.associations;Capacitor;X7R;PAS - Passives;2008-08-21T16:59:08-08:00;CAP, 100nF, 16V, 10%, X7R, CERAMIC, 0402;Capacitor;2012-02-01T15:49:25-08:00;0402C;N/A;NIC COMPONENTS NMC0402X7R104K16TRPF;NMC0402X7R104K16TRPF;MURATA GRM155R71C104KA88D;GRM155R71C104KA88D;VISHAY VJ0402V104ZXJCW1BC;VJ0402V104ZXJCW1BC;;;;;Morris Chau;0.55mm;Production;;Airlink;2;N/A;-55 +125C;10%;100nF;;16V;0.0
C951;https://app.bom.com/a/N5O6P9S9SBU5DYQF?v=files.associations;Capacitor;X7R;PAS - Passives;2008-08-21T16:59:08-08:00;CAP, 100nF, 16V, 10%, X7R, CERAMIC, 0402;Capacitor;2012-02-01T15:49:25-08:00;0402C;N/A;NIC COMPONENTS NMC0402X7R104K16TRPF;NMC0402X7R104K16TRPF;MURATA GRM155R71C104KA88D;GRM155R71C104KA88D;VISHAY VJ0402V104ZXJCW1BC;VJ0402V104ZXJCW1BC;;;;;Morris Chau;0.55mm;Production;;Airlink;2;N/A;-55 +125C;10%;100nF;;16V;0.0
C952;https://app.bom.com/a/M4N5O8R8RARFTUIV?v=files.associations;Capacitor;X5R;PAS - Passives;2011-05-10T11:00:44-08:00;CAP, 10uF, 10V, 10%, X5R, CERAMIC, 0805;Capacitor;2013-02-20T15:53:29-08:00;0805C;;MURATA GRM21BR61A106KE19L;GRM21BR61A106KE19L;TAIYO YUDEN LMK212BJ106KG-T;LMK212BJ106KG-T;;;;;;;Michael Sorensen;1.35mm;Production;;Michael Sorensen;1;;-55 +85C;10%;10uF;;10V;0.0
